kyc_verified,account_age_days,transaction_amount,channel,is_fraud,transaction_type,location,currency,avg_transaction_amount,failed_login_attempts,multi_device_login,velocity_check,hour,weekday,is_high_value,day,day_of_week,month,log_amount,cust_txn_count,cust_avg_amount,cust_max_amount,cust_min_amount
Yes,2959,5043.0,0,0,0,0,0,133322,3,0,7,1,6,0,3,6,8,8.52595469708481,13,93019.15384615384,374617.0,2998.0
Yes,2484,3687.0,0,0,0,0,0,186328,2,0,2,5,3,0,7,3,8,8.212839584676484,18,134917.44444444444,472200.0,3397.0
Yes,2071,9357.0,0,0,0,0,0,68457,5,0,10,5,4,0,15,4,8,9.143986871426161,17,140914.4705882353,441956.0,2913.0
No,2519,12407.0,1,0,0,0,0,105923,2,0,2,17,1,0,19,1,8,9.426096704856375,17,134691.5294117647,408675.0,940.0
Yes,2098,4599.0,0,0,0,0,0,58553,2,0,13,13,0,0,4,0,8,8.433811582477187,14,156517.57142857142,428824.0,4599.0
Yes,1996,20780.0,0,0,0,0,0,147468,2,0,2,15,6,0,17,6,8,9.941794386690715,13,169686.07692307694,489835.0,3067.0
Yes,225,7516.0,3,0,0,0,0,187333,3,0,10,19,5,0,2,5,8,8.924922401177469,16,164819.375,471165.0,2490.0
Yes,1946,22775.0,0,0,0,0,0,194124,0,0,14,2,3,0,14,3,8,10.033462628957874,21,124044.76190476191,475810.0,4732.0
Yes,2019,7071.0,0,0,0,0,0,77954,3,0,17,18,2,0,13,2,8,8.863898604317479,17,154812.0,421549.0,4449.0
Yes,12,4733.0,0,1,0,0,0,91100,5,0,19,4,1,0,19,1,8,8.46252579007393,19,205624.94736842104,482446.0,4733.0
Yes,2170,11671.0,3,0,0,0,0,123232,0,0,12,11,4,0,8,4,8,9.364948090202622,8,143688.625,394336.0,6656.0
No,2057,10099.0,3,1,0,0,0,159507,5,0,17,4,6,0,24,6,8,9.22029070282935,13,179740.84615384616,490893.0,2411.0
Yes,495,93968.0,0,0,0,0,0,38141,4,0,6,21,1,1,12,1,8,11.45072021962633,11,166019.45454545456,434101.0,9857.0
Yes,2080,16915.0,0,1,0,0,0,30211,4,0,4,22,5,0,16,5,8,9.73601519859238,13,168758.23076923078,435984.0,3979.0
Yes,1264,52142.0,0,0,0,0,0,70842,0,0,2,4,3,1,21,3,8,10.861745223231589,14,221539.0,497645.0,3551.0
No,2108,12537.0,3,0,0,0,0,107396,3,0,15,0,4,0,8,4,8,9.436519311833914,18,136630.38888888888,493854.0,1889.0
Yes,649,5007.0,3,0,0,0,0,143754,5,0,16,14,3,0,21,3,8,8.518791912779934,13,128747.38461538461,390030.0,4200.0
Yes,75,243649.0,3,0,0,0,0,88333,5,0,12,5,5,1,9,5,8,12.403488048271653,16,204797.125,479627.0,4557.0
No,43,3304.0,3,1,0,0,0,56776,1,0,7,17,5,0,16,5,8,8.103191752285786,18,136289.83333333334,432643.0,3304.0
Yes,1012,5789.0,0,0,0,0,0,20041,5,0,13,4,2,0,6,2,8,8.663887570567042,16,187044.4375,447208.0,3480.0
Yes,456,5605.0,0,0,0,0,0,94957,3,0,1,20,2,0,13,2,8,8.631592731724734,13,93152.38461538461,295403.0,3506.0
Yes,631,30768.0,0,0,0,0,0,45313,1,0,19,22,6,0,10,6,8,10.334262968600457,12,191643.25,459755.0,6258.0
Yes,2308,105710.0,0,1,0,0,0,168770,3,0,13,10,5,1,9,5,8,11.568464234560931,13,196175.38461538462,368220.0,4027.0
Yes,173,5329.0,3,0,0,0,0,140392,2,0,1,18,6,0,3,6,8,8.58110651715989,12,111603.58333333333,491704.0,4095.0
Yes,2530,26053.0,3,0,0,0,0,24570,5,0,2,6,4,0,1,4,8,10.16792658625751,15,88978.33333333333,434185.0,3344.0
Yes,700,6950.0,0,0,0,0,0,142694,2,0,1,2,6,0,24,6,8,8.846640813100485,11,143380.9090909091,429090.0,4518.0
Yes,273,247479.0,3,1,0,0,0,81059,4,0,12,22,5,1,16,5,8,12.419085049644925,14,132282.42857142858,467815.0,2850.0
Yes,969,5772.0,3,0,0,0,0,42286,4,1,10,0,2,0,6,2,8,8.660947155060933,16,201072.5625,490766.0,4506.0
No,653,7562.0,0,0,0,0,0,138309,0,0,2,5,5,0,2,5,8,8.93102321585603,17,142035.0,408568.0,4517.0
No,2569,34817.0,3,0,0,0,0,36562,5,0,1,17,3,0,21,3,8,10.457889773418664,17,179847.41176470587,435446.0,4417.0
Yes,2735,5596.0,3,0,0,0,0,185809,1,0,5,0,4,0,15,4,8,8.62998601889136,15,139674.6,430612.0,4120.0
Yes,2270,5397.0,0,0,0,0,0,52071,2,1,2,2,2,0,13,2,8,8.59378379357795,15,136719.26666666666,463418.0,3252.0
No,2358,134190.0,0,1,0,0,0,26010,3,0,4,15,2,1,13,2,8,11.807019437187364,11,126715.27272727272,273905.0,2189.0
Yes,1185,16207.0,0,0,0,0,0,19926,5,0,14,2,0,0,18,0,8,9.693260226488464,17,154812.0,421549.0,4449.0
Yes,2865,4998.0,2,0,0,0,0,37765,0,0,9,4,2,0,20,2,8,8.51699317141357,22,173113.77272727274,469171.0,4998.0
Yes,2578,4199.0,3,0,0,0,0,149422,3,0,6,21,6,0,10,6,8,8.34283980427146,13,144470.38461538462,450857.0,4199.0
Yes,362,9754.0,0,0,0,0,0,66650,2,0,12,16,1,0,19,1,8,9.185535253057212,19,211604.42105263157,497578.0,2532.0
No,1401,6735.0,3,0,0,0,0,87812,5,0,12,14,5,0,16,5,8,8.815221555922163,11,79732.90909090909,208380.0,3359.0
No,2239,5785.0,2,1,0,0,0,90113,2,0,9,11,6,0,3,6,8,8.66319648553608,16,130121.3125,449250.0,2398.0
Yes,994,3376.0,0,0,0,0,0,75410,5,0,15,17,6,0,3,6,8,8.124743020385568,10,178926.6,473622.0,3376.0
Yes,1788,274162.0,1,0,0,0,0,52875,5,0,10,19,1,1,5,1,8,12.521478099003941,19,129976.26315789473,412590.0,4976.0
No,135,3659.0,3,0,0,0,0,122326,2,0,2,8,5,0,9,5,8,8.205218426395412,17,143164.9411764706,486106.0,3659.0
Yes,834,260928.0,0,1,0,0,0,35935,2,0,18,21,1,1,19,1,8,12.47200361864644,13,89615.15384615384,422134.0,6465.0
Yes,2525,10742.0,1,0,0,0,0,96943,3,0,7,2,4,0,22,4,8,9.282009658666542,22,148944.77272727274,499671.0,3029.0
Yes,2777,2829.0,2,0,0,0,0,188704,0,0,9,3,0,0,4,0,8,7.948031990637284,12,178800.25,465839.0,2829.0
Yes,1769,10300.0,2,0,0,0,0,134555,2,0,18,14,5,0,16,5,8,9.239996256883693,11,85364.81818181818,417717.0,3173.0
Yes,1137,5596.0,3,0,0,0,0,152234,4,0,3,22,6,0,17,6,8,8.62998601889136,17,125905.82352941176,447581.0,5425.0
Yes,1119,17908.0,3,0,0,0,0,24010,0,1,13,14,6,0,17,6,8,9.79305865876674,18,102601.33333333333,381015.0,2564.0
Yes,385,18393.0,3,0,0,0,0,172570,4,0,10,6,6,0,24,6,8,9.819779803462643,13,168758.23076923078,435984.0,3979.0
Yes,1056,6857.0,3,0,0,0,0,188418,3,0,17,11,4,0,1,4,8,8.833171133022866,13,146642.0,453618.0,6857.0
No,1642,2955.0,0,0,0,0,0,94571,2,0,3,1,6,0,24,6,8,7.991592282068092,19,133346.73684210525,496096.0,2955.0
Yes,1534,3640.0,1,0,0,0,0,7140,0,0,9,19,6,0,24,6,8,8.200013648175434,18,149564.66666666666,499651.0,3640.0
Yes,1279,6594.0,3,0,0,0,0,45047,2,0,17,22,3,0,7,3,8,8.794067065151415,12,178800.25,465839.0,2829.0
Yes,1419,210327.0,2,0,0,0,0,55120,5,0,16,10,3,1,21,3,8,12.256423495956895,19,227078.84210526315,492130.0,5321.0
Yes,731,16201.0,0,0,0,0,0,146889,2,0,6,15,5,0,2,5,8,9.692889970390437,11,186347.18181818182,484045.0,1429.0
Yes,475,7527.0,1,0,0,0,0,116108,0,0,18,0,5,0,23,5,8,8.926384681265215,10,171997.4,406587.0,2347.0
No,1561,4322.0,1,0,0,0,0,8064,2,0,6,16,2,0,6,2,8,8.371704884667631,13,123162.53846153847,483572.0,4012.0
Yes,2193,176785.0,0,1,0,0,0,158917,2,0,6,2,3,1,21,3,8,12.08269524052998,18,174497.77777777778,462152.0,4688.0
Yes,2218,220037.0,2,0,0,0,0,114324,1,0,17,6,5,1,2,5,8,12.301555537691588,5,197342.0,403949.0,17202.0
Yes,1441,8752.0,3,0,0,0,0,79773,1,0,10,2,6,0,17,6,8,9.077151777732437,10,63037.5,297344.0,3154.0
Yes,2872,299358.0,0,0,0,0,0,75359,0,1,2,2,4,1,8,4,8,12.60939880104269,11,147129.0909090909,490040.0,1577.0
Yes,1459,8217.0,3,0,0,0,0,110517,0,0,1,19,0,0,11,0,8,9.014082149443356,20,133962.95,432657.0,4197.0
Yes,2606,3446.0,0,0,0,0,0,124118,5,0,11,3,6,0,3,6,8,8.145259566516865,15,88978.33333333333,434185.0,3344.0
No,1950,161240.0,0,0,0,0,0,183965,5,1,6,13,3,1,7,3,8,11.990655419146874,15,92484.8,384033.0,3863.0
Yes,233,12147.0,0,0,0,0,0,197653,2,0,1,1,5,0,9,5,8,9.404919826165639,11,170743.63636363635,495352.0,3740.0
Yes,2413,13901.0,3,0,0,0,0,125841,4,0,16,9,0,0,25,0,8,9.53978799366043,14,124460.57142857143,412739.0,6274.0
Yes,2853,3870.0,3,0,0,0,0,29930,0,0,9,20,0,0,11,0,8,8.261268150577648,15,172889.4,487390.0,3870.0
Yes,1650,7338.0,2,0,0,0,0,28288,2,0,12,16,6,0,24,6,8,8.900957872545062,15,103494.46666666666,413940.0,3681.0
Yes,2865,6251.0,3,0,0,0,0,180115,4,0,9,1,6,0,10,6,8,8.740656691541368,15,209394.33333333334,484131.0,2546.0
Yes,1927,3384.0,0,0,0,0,0,145491,1,0,13,0,2,0,13,2,8,8.127109185346375,15,168436.53333333333,473227.0,3384.0
Yes,680,11444.0,0,0,0,0,0,69846,5,0,7,21,0,0,18,0,8,9.345308232386667,20,130299.4,451049.0,5220.0
Yes,1959,270075.0,1,0,0,0,0,96622,0,0,1,18,6,1,24,6,8,12.506458679853514,11,166752.81818181818,431247.0,5637.0
Yes,2361,6375.0,0,0,0,0,0,40474,2,0,3,6,4,0,22,4,8,8.760296220470051,12,133278.33333333334,425365.0,1684.0
Yes,997,6407.0,3,0,0,0,0,107809,1,0,3,0,6,0,17,6,8,8.765302488748196,12,159171.33333333334,440785.0,6407.0
No,2683,16916.0,0,0,0,0,0,16871,3,0,19,10,6,0,24,6,8,9.736074312475292,10,57386.8,488217.0,2926.0
Yes,185,7146.0,3,0,0,0,0,45584,1,0,4,4,5,0,9,5,8,8.874447967219979,15,168436.53333333333,473227.0,3384.0
Yes,2143,6676.0,3,0,0,0,0,161201,2,0,12,14,4,0,22,4,8,8.806424063857868,18,123634.94444444444,429852.0,4486.0
No,1916,2907.0,3,0,0,0,0,182756,5,0,4,9,3,0,7,3,8,7.97522083865341,13,192605.61538461538,472704.0,2907.0
Yes,1876,6061.0,3,0,0,0,0,62416,4,0,10,19,3,0,21,3,8,8.709795057617749,14,58546.57142857143,195843.0,2367.0
Yes,536,5628.0,0,0,0,0,0,74472,3,0,4,22,0,0,18,0,8,8.635687085464026,13,105959.15384615384,368881.0,127.0
Yes,2837,6452.0,1,0,0,0,0,193759,3,0,11,2,4,0,15,4,8,8.77230041793584,13,74569.30769230769,328082.0,5175.0
Yes,2711,22409.0,1,0,0,0,0,13484,5,1,4,6,3,0,7,3,8,10.017262566794972,26,179229.34615384616,494538.0,8019.0
Yes,314,7960.0,1,0,0,0,0,33539,3,0,11,14,0,0,11,0,8,8.982309899088579,21,137853.85714285713,482049.0,3074.0
No,2023,14776.0,1,0,0,0,0,85931,0,0,17,19,3,0,14,3,8,9.600827196903634,12,125086.41666666667,451341.0,2248.0
Yes,478,5221.0,0,0,0,0,0,84191,2,0,13,22,5,0,9,5,8,8.560635749259074,8,120602.625,331268.0,1512.0
Yes,2042,79561.0,3,0,0,0,0,59106,3,0,17,21,3,1,21,3,8,11.28429187091238,24,183487.875,492218.0,5651.0
Yes,1428,16234.0,3,0,0,0,0,142188,1,1,13,2,0,0,25,0,8,9.694924684536947,18,154751.61111111112,465930.0,2692.0
Yes,2500,8702.0,1,0,0,0,0,103165,4,1,17,7,2,0,13,2,8,9.071423072789514,16,53652.9375,293283.0,2225.0
Yes,2457,4868.0,2,0,0,0,0,105873,2,0,19,9,0,0,18,0,8,8.4906438561827,18,118770.66666666667,478370.0,2865.0
Yes,1046,5027.0,3,0,0,0,0,181644,5,0,15,7,3,0,7,3,8,8.522777569710138,13,278903.3846153846,486565.0,5027.0
Yes,1009,10110.0,2,0,0,0,0,25074,1,0,4,12,4,0,8,4,8,9.2213792190914,19,103936.8947368421,431557.0,2184.0
Yes,14,4758.0,3,0,0,0,0,135002,0,0,18,17,2,0,13,2,8,8.46779284112111,18,136552.94444444444,416230.0,3778.0
Yes,684,8360.0,3,1,0,0,0,144248,3,0,11,7,3,0,7,3,8,9.031333316150057,20,138992.7,472725.0,3167.0
Yes,581,9407.0,0,0,0,0,0,142388,1,0,9,8,5,0,16,5,8,9.149315670138408,15,89471.33333333333,431338.0,1419.0
Yes,2927,171469.0,3,0,0,0,0,33233,2,0,16,3,6,1,3,6,8,12.052163603172897,15,138077.33333333334,479599.0,2664.0
Yes,2165,10645.0,3,0,0,0,0,2550,1,0,3,13,4,0,8,4,8,9.272939513732704,15,139674.6,430612.0,4120.0
Yes,2035,220284.0,3,0,0,0,0,110496,0,1,18,2,4,1,1,4,8,12.302677441502688,22,120637.18181818182,417746.0,3763.0
Yes,1133,19056.0,3,0,0,0,0,34433,4,0,17,4,3,0,14,3,8,9.855189767128376,23,165740.47826086957,455439.0,2424.0
Yes,2632,5022.0,1,0,0,0,0,25451,3,0,10,1,2,0,20,2,8,8.521782643750045,15,218956.86666666667,396169.0,5022.0
Yes,1501,4601.0,0,0,0,0,0,32913,2,0,5,13,1,0,19,1,8,8.434246270595311,19,178208.52631578947,491598.0,4437.0
Yes,224,6303.0,0,0,0,0,0,166373,3,0,15,5,1,0,12,1,8,8.748939631537715,11,162064.63636363635,450063.0,6303.0
Yes,2166,281000.0,0,1,0,0,0,187191,3,0,18,4,3,1,7,3,8,12.546113507028412,11,117791.54545454546,378791.0,4711.0
No,1205,10229.0,0,1,0,0,0,164485,5,0,5,12,4,0,15,4,8,9.233079858945672,17,115035.0,481042.0,4036.0
Yes,1719,2755.0,3,0,0,0,0,113073,3,0,15,1,4,0,22,4,8,7.9215356321335495,17,98139.94117647059,325549.0,2755.0
Yes,299,11627.0,0,0,0,0,0,172172,1,0,6,23,4,0,1,4,8,9.361171261678766,17,170005.5294117647,484723.0,4840.0
Yes,2700,13942.0,3,0,0,0,0,189347,1,0,8,6,5,0,16,5,8,9.54273286919502,21,178780.42857142858,409474.0,1946.0
Yes,480,7120.0,1,0,0,0,0,166972,4,1,3,6,0,0,18,0,8,8.870803443982124,16,95801.75,372539.0,3940.0
Yes,1529,18050.0,3,0,0,0,0,136066,0,0,5,22,4,0,1,4,8,9.800956363888462,18,75792.22222222222,324647.0,5295.0
Yes,2714,115252.0,0,1,0,0,0,123244,2,0,18,20,4,1,22,4,8,11.654884990888874,14,155466.85714285713,333624.0,9738.0
Yes,2633,175425.0,3,0,0,0,0,89931,1,0,15,16,5,1,2,5,8,12.074972580546026,14,170938.14285714287,426263.0,4028.0
Yes,2261,19762.0,0,0,0,0,0,43501,3,0,12,16,0,0,18,0,8,9.891566781640435,14,124499.35714285714,467450.0,4465.0
No,670,5766.0,1,0,0,0,0,67864,0,0,19,12,6,0,17,6,8,8.659907293615413,22,192631.04545454544,491344.0,5398.0
Yes,2838,7020.0,0,0,0,0,0,125488,2,0,7,13,6,0,3,6,8,8.85666093701725,13,161336.6923076923,386949.0,2777.0
Yes,1830,137036.0,3,0,0,0,0,45528,2,0,1,13,2,1,6,2,8,11.828006241339818,23,159246.30434782608,469396.0,6695.0
No,1764,42483.0,0,0,0,0,0,169145,2,0,2,0,5,0,2,5,8,10.656882813441431,21,155775.95238095237,489819.0,3742.0
Yes,402,2862.0,0,0,0,0,0,132378,2,0,19,9,6,0,17,6,8,7.959625305098115,17,137397.58823529413,486552.0,2595.0
Yes,1805,10090.0,0,0,0,0,0,124843,4,0,13,13,1,0,5,1,8,9.219399216464529,13,109847.69230769231,418938.0,3945.0
Yes,2078,9007.0,1,0,0,0,0,188210,2,0,18,17,4,0,15,4,8,9.105868350379472,19,103936.8947368421,431557.0,2184.0
Yes,978,7244.0,1,0,0,0,0,128801,0,0,10,4,6,0,3,6,8,8.888066854754783,16,119883.3125,339657.0,5123.0
Yes,2812,5418.0,1,0,0,0,0,126795,1,0,13,13,6,0,24,6,8,8.597666575566114,9,122125.0,380764.0,5418.0
Yes,1533,39061.0,3,0,0,0,0,161329,0,0,5,17,4,0,22,4,8,10.572905406396837,13,124901.15384615384,442888.0,2958.0
Yes,2980,24356.0,0,0,0,0,0,35136,3,0,13,4,3,0,21,3,8,10.100574561530555,13,132403.84615384616,441496.0,2614.0
Yes,2898,99459.0,0,1,0,0,0,179852,5,0,9,13,1,1,19,1,8,11.50751083226873,12,106749.41666666667,443705.0,3254.0
Yes,2075,7648.0,0,0,0,0,0,24762,4,1,1,5,4,0,15,4,8,8.942330199321866,12,117585.41666666667,435686.0,3925.0
Yes,2568,8124.0,2,0,0,0,0,80935,4,0,6,3,4,0,15,4,8,9.002701007197938,17,143164.9411764706,486106.0,3659.0
Yes,1476,4230.0,0,0,0,0,0,193783,3,0,1,16,5,0,2,5,8,8.350193650720067,13,179439.53846153847,463249.0,4230.0
Yes,346,11546.0,3,0,0,0,0,186414,0,0,18,0,5,0,2,5,8,9.354180941951856,12,116407.58333333333,368400.0,4813.0
Yes,2130,6350.0,0,0,0,0,0,129083,0,0,16,11,0,0,25,0,8,8.756367559802975,24,183487.875,492218.0,5651.0
Yes,1102,11556.0,0,0,0,0,0,188551,3,0,8,7,2,0,13,2,8,9.355046592975441,16,53652.9375,293283.0,2225.0
No,2213,15570.0,0,0,0,0,0,169769,5,0,6,7,6,0,10,6,8,9.653165488841426,11,162064.63636363635,450063.0,6303.0
Yes,2265,132300.0,1,0,0,0,0,42344,2,0,13,16,5,1,9,5,8,11.792834908653468,15,167101.4,439913.0,1486.0
No,2442,11096.0,0,0,0,0,0,65254,2,0,17,1,4,0,1,4,8,9.314430080500564,22,152251.45454545456,495303.0,4522.0
Yes,1032,2712.0,0,0,0,0,0,165729,1,0,13,17,1,0,19,1,8,7.905810312658931,12,84935.08333333333,280472.0,2712.0
Yes,2797,16093.0,0,0,0,0,0,77629,0,0,10,1,3,0,21,3,8,9.686201810706079,20,177317.55,494358.0,2477.0
Yes,2890,11161.0,0,0,0,0,0,40542,0,0,6,14,4,0,8,4,8,9.320270431348378,13,176663.92307692306,480427.0,11161.0
Yes,1128,8709.0,3,0,0,0,0,62165,3,0,18,19,6,0,17,6,8,9.072227069846548,14,124499.35714285714,467450.0,4465.0
Yes,2292,23232.0,1,1,0,0,0,117453,3,0,13,21,3,0,21,3,8,10.053328960775287,19,178208.52631578947,491598.0,4437.0
Yes,1929,16824.0,3,0,0,0,0,158948,2,0,15,5,6,0,17,6,8,9.730621154512928,18,133842.11111111112,449106.0,2086.0
Yes,2254,15929.0,3,0,0,0,0,187126,0,0,6,4,2,0,6,2,8,9.675959402904095,14,244628.92857142858,496241.0,6734.0
Yes,1505,253809.0,3,1,0,0,0,145771,0,0,11,15,1,1,19,1,8,12.444341234589452,17,189556.29411764705,481896.0,3111.0
Yes,1126,12542.0,1,0,0,0,0,119033,4,0,8,21,2,0,13,2,8,9.436918020024674,11,85824.72727272728,457346.0,2221.0
Yes,890,5334.0,1,0,0,0,0,182520,1,0,14,8,5,0,23,5,8,8.582044163735853,19,157819.1052631579,481956.0,2943.0
Yes,1660,18282.0,3,0,0,0,0,74281,1,0,13,22,3,0,21,3,8,9.813726945328504,15,190575.4,494570.0,2344.0
Yes,2038,7903.0,0,0,0,0,0,66762,2,0,2,0,5,0,16,5,8,8.975124239427704,19,110183.57894736843,375708.0,3006.0
Yes,2654,20116.0,2,0,0,0,0,47100,5,0,1,3,1,0,5,1,8,9.909320507728571,20,171892.25,464870.0,1432.0
Yes,784,4742.0,1,0,0,0,0,77398,0,0,5,14,6,0,10,6,8,8.464425125877582,13,101386.30769230769,455034.0,2773.0
Yes,480,255986.0,1,1,0,0,0,194055,4,0,11,21,6,1,17,6,8,12.452881940922289,18,121248.5,467202.0,3656.0
Yes,2618,8334.0,0,0,0,0,0,149869,0,0,10,23,3,0,7,3,8,9.028218795184895,14,88849.85714285714,362098.0,3869.0
Yes,1562,9080.0,2,0,0,0,0,30948,3,0,12,22,6,0,10,6,8,9.113939597689829,13,102144.69230769231,385944.0,4842.0
Yes,1070,10777.0,0,0,0,0,0,26672,2,0,10,8,1,0,12,1,8,9.285262298493443,20,138992.7,472725.0,3167.0
Yes,2117,4148.0,2,0,0,0,0,174446,5,1,9,2,6,0,3,6,8,8.330622620332868,13,140456.07692307694,491582.0,4148.0
Yes,2944,22889.0,3,0,0,0,0,8157,1,0,2,23,1,0,5,1,8,10.038455412946613,24,156227.875,479464.0,3125.0
Yes,557,3282.0,0,0,0,0,0,156997,0,0,4,14,2,0,20,2,8,8.096512917501594,21,120112.09523809524,436828.0,3282.0
Yes,2188,6811.0,0,0,0,0,0,158257,5,0,4,23,6,0,24,6,8,8.826441041782578,22,168604.4090909091,488761.0,4855.0
Yes,1890,280146.0,0,0,0,0,0,113355,2,0,6,23,6,1,24,6,8,12.543069744387102,13,144470.38461538462,450857.0,4199.0
Yes,1807,3734.0,3,0,0,0,0,156150,1,0,12,0,5,0,9,5,8,8.225503097566918,20,171892.25,464870.0,1432.0
Yes,2019,13992.0,0,0,0,0,0,160403,0,0,7,5,3,0,14,3,8,9.546312483555713,15,94761.66666666667,325605.0,3400.0
No,174,3945.0,3,0,0,0,0,8406,4,0,19,19,5,0,16,5,8,8.28045768658256,9,93823.44444444444,342031.0,3945.0
Yes,2119,10500.0,0,0,0,0,0,61913,2,1,2,0,6,0,17,6,8,9.259225769705994,11,148534.9090909091,482382.0,4471.0
No,103,4119.0,0,0,0,0,0,54528,0,1,19,2,4,0,15,4,8,8.323608442343572,15,172889.4,487390.0,3870.0
Yes,1768,18456.0,0,0,0,0,0,7787,1,0,4,19,0,0,18,0,8,9.823198981307291,21,88640.28571428571,473745.0,3125.0
Yes,2247,8921.0,0,0,0,0,0,34160,1,0,3,14,2,0,13,2,8,9.09627541568821,11,132385.45454545456,495000.0,8921.0
Yes,1867,16538.0,2,0,0,0,0,61004,4,0,4,4,6,0,10,6,8,9.713476507257793,19,158515.94736842104,489034.0,4636.0
No,664,6946.0,3,0,0,0,0,191292,2,0,14,18,0,0,11,0,8,8.846065190692881,19,178016.15789473685,486767.0,6115.0
Yes,1924,17663.0,3,1,0,0,0,103479,2,0,6,23,6,0,17,6,8,9.779283949076822,16,122051.5625,424111.0,3719.0
No,2713,7726.0,0,0,0,0,0,35201,5,1,6,17,6,0,3,6,8,8.952475967933584,13,140456.07692307694,491582.0,4148.0
Yes,2223,2687.0,3,0,0,0,0,83800,0,0,9,0,6,0,24,6,8,7.89655270164304,20,213912.55,490492.0,2687.0
Yes,791,268281.0,3,0,0,0,0,149246,5,0,5,9,4,1,15,4,8,12.499793945083754,13,241043.76923076922,461290.0,2852.0
Yes,804,4504.0,3,0,0,0,0,84060,1,0,7,0,6,0,24,6,8,8.412943170042439,13,192605.61538461538,472704.0,2907.0
Yes,204,168206.0,0,1,0,0,0,155446,1,0,13,23,3,1,7,3,8,12.03295064277749,17,132424.82352941178,499832.0,2516.0
Yes,2460,8279.0,0,0,0,0,0,44142,4,0,1,15,0,0,25,0,8,9.021598247379305,18,149899.61111111112,453534.0,3056.0
Yes,565,9851.0,0,0,0,0,0,65660,4,0,2,9,2,0,13,2,8,9.195429759240428,12,156548.83333333334,425846.0,1354.0
No,1406,17293.0,0,0,0,0,0,18102,2,0,10,15,0,0,18,0,8,9.758114899520375,13,143551.0,459359.0,3527.0
Yes,1744,13665.0,0,1,0,0,0,103820,5,0,6,10,2,0,6,2,8,9.522666275340724,16,123632.8125,462695.0,1728.0
Yes,1398,12943.0,0,0,0,0,0,89301,1,0,4,13,0,0,4,0,8,9.468387639298273,15,123594.0,435397.0,4647.0
Yes,1774,6402.0,2,0,0,0,0,26431,0,0,8,17,3,0,14,3,8,8.764521909518802,18,179106.38888888888,476243.0,2404.0
Yes,1726,113624.0,3,1,0,0,0,94877,3,0,14,19,3,1,21,3,8,11.64065883147978,9,122125.0,380764.0,5418.0
Yes,727,22134.0,0,0,0,0,0,29692,0,0,16,10,4,0,1,4,8,10.004915345166241,11,123256.36363636363,310859.0,4783.0
Yes,2779,9513.0,0,0,0,0,0,47042,4,0,15,20,6,0,24,6,8,9.160519676992227,14,156122.2857142857,485417.0,6041.0
No,1161,6509.0,3,0,0,0,0,127515,0,0,13,1,0,0,18,0,8,8.781094735202615,14,158782.92857142858,499853.0,1335.0
No,875,299206.0,0,0,0,0,0,43020,1,0,12,12,3,1,7,3,8,12.608890920530708,17,170342.35294117648,402939.0,4869.0
Yes,1342,3397.0,2,0,0,0,0,65272,5,0,7,16,2,0,6,2,8,8.130942302231878,18,134917.44444444444,472200.0,3397.0
Yes,2498,4246.0,0,0,0,0,0,190334,2,0,15,15,1,0,5,1,8,8.353968130313271,11,74997.81818181818,399633.0,3876.0
Yes,127,9141.0,1,1,0,0,0,50606,5,0,6,17,2,0,20,2,8,9.12063445889169,17,134691.5294117647,408675.0,940.0
Yes,1606,16069.0,0,0,0,0,0,81621,3,0,14,16,0,0,25,0,8,9.684709458731557,14,160815.64285714287,465278.0,2389.0
Yes,867,7353.0,3,0,0,0,0,26059,2,0,15,12,4,0,15,4,8,8.902999661861218,16,173237.0625,396969.0,7347.0
No,701,6074.0,0,1,0,0,0,106095,3,0,11,13,3,0,7,3,8,8.711937268208748,9,172221.66666666666,437803.0,3910.0
Yes,657,6761.0,0,0,0,0,0,34242,3,0,4,12,1,0,12,1,8,8.819073983267831,11,139659.54545454544,462518.0,3744.0
No,686,22132.0,2,0,0,0,0,70169,1,0,5,16,0,0,25,0,8,10.004824986442046,20,155247.8,486443.0,3986.0
Yes,1595,12845.0,3,0,0,0,0,153326,1,0,2,2,6,0,10,6,8,9.460787757817737,18,143478.0,473536.0,5778.0
Yes,131,8120.0,0,0,0,0,0,135544,4,0,15,4,1,0,19,1,8,9.002208578282412,14,158782.92857142858,499853.0,1335.0
Yes,514,197721.0,0,0,0,0,0,71331,4,0,10,5,6,1,24,6,8,12.194617282684323,23,111863.17391304347,420224.0,3595.0
Yes,2093,160030.0,3,1,0,0,0,112717,3,0,4,20,1,1,19,1,8,11.983122825448858,11,85493.18181818182,300096.0,2714.0
No,2068,7971.0,2,0,0,0,0,42373,5,0,8,3,4,0,22,4,8,8.983690681332686,11,124892.90909090909,386879.0,3517.0
Yes,324,14580.0,0,0,0,0,0,107032,4,0,11,21,0,0,18,0,8,9.587474590316285,15,69778.26666666666,419183.0,1149.0
Yes,1379,140896.0,1,0,0,0,0,126767,1,0,17,21,6,1,10,6,8,11.855784405963862,17,103573.4705882353,475679.0,2390.0
Yes,2301,7178.0,1,0,0,0,0,141475,4,0,7,7,4,0,1,4,8,8.878915376576483,12,175326.41666666666,484637.0,4296.0
Yes,2080,170686.0,3,0,0,0,0,134592,3,0,11,0,2,1,6,2,8,12.047586748881855,20,149335.4,477913.0,8182.0
Yes,1328,5117.0,0,0,0,0,0,42255,2,0,10,20,2,0,13,2,8,8.540519016719735,13,144859.84615384616,462894.0,3584.0
